"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"533252162420473858","","","2014-11-14 13:36:37 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @StateDept: .@JohnKerry: I congratulate people of #CzechRepublic &amp; #Slovakia on 25 years of freedom, democratic governance. http://t.co/…","533012501458595840","9624742","2014-11-13 21:44:17 +0000","http://go.usa.gov/AhwT,http://go.usa.gov/AhwT"
"533022242620198912","","","2014-11-13 22:23:00 +0000","<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>","Beyond the Wall – the Road to Freedom and Equality @DisabRightsFund Kerry Thompson 2014 AMMF Fellow http://t.co/C9gQj7h7h4","","","","http://disq.us/8kxmmo"
"532990703744614400","","","2014-11-13 20:17:40 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Please consider supporting @DisabRightsFund #GivingTuesday with a gift https://t.co/ptEN4pUiMQ. http://t.co/kMT60EQfzs","","","","https://donatenow.networkforgood.org/disabilityrightsnow,http://twitter.com/DisabRightsFund/status/532990703744614400/photo/1"
"532956656343482368","","","2014-11-13 18:02:23 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @UN_Enable: Unemployment among the persons with disabilities is as high as 80% in some countries. Fight against discrimination. #UNEnabl…","532594122478354432","299781618","2014-11-12 18:01:48 +0000",""
"532892952557666304","","","2014-11-13 13:49:15 +0000","<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>","Lawrence Foundation Accepting Proposals for Environmental, Education, and Human Services Projects http://t.co/lAnjPnJjVL via @sharethis","","","","http://shar.es/10Lva1"
"532662451741790208","","","2014-11-12 22:33:19 +0000","<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>","What works to prevent violence against women with disabilities : a global program to prevent violence http://t.co/Az0PDDO31r via @sharethis","","","","http://shar.es/10MhXF"
"532573344751972353","","","2014-11-12 16:39:14 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @didrrn: Next week on prep com2 4 #wcdrr,we will bring these priorities 2include in HFA2.U can also send ur recommendation 2 didrrn@asbi…","532036244717318144","1895938562","2014-11-11 05:05:00 +0000",""
"532573002915790849","","","2014-11-12 16:37:53 +0000","<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>","Inclusion works : learnings on the inclusion of people with disabilities in a food security project  http://t.co/FgCc82f86J via @sharethis","","","","http://shar.es/10P6F7"
"532572583359553536","","","2014-11-12 16:36:13 +0000","<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>","Inclusive learning : children with disabilities and difficulties in learning : topic guide http://t.co/da1BPcQXOa via @sharethis","","","","http://shar.es/10P6iY"
"532296524827328512","","","2014-11-11 22:19:15 +0000","<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>","This 13 Year Old Is So Impressive, Intel Is Investing Hundreds Of Thousands In His Startup - https://t.co/XRogTworvX via @Yahoo_MY","","","","https://my.news.yahoo.com/13-old-impressive-intel-investing-150400383.html"
"532230479005487104","","","2014-11-11 17:56:49 +0000","<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>","Visualize the world of #humanrights funding for people with disabilities http://t.co/4n65HhH5dn
@DisabRightsFund","","","","http://humanrights.foundationcenter.org/populations/disabled/"
"531829746200358912","","","2014-11-10 15:24:27 +0000","<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>","Haiti - Education : Campaign for the integration of disabled children in schools http://t.co/7YJkANGME8 via @HaitiLibre","","","","http://www.haitilibre.com/en/news-12470-haiti-education-campaign-for-the-integration-of-disabled-children-in-schools.html"
"531828284326039552","","","2014-11-10 15:18:38 +0000","<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>","RT @karenansara: So proud to support Disability Rights Fund in #Haiti! ""@menfphaiti1804: http://t.co/tWOZhd8QrZ” @DisabRightsFund","531811216243834880","105794926","2014-11-10 14:10:49 +0000","http://www.haitilibre.com/article-12470-haiti-education-campagne-pour-l-integration-des-enfants-handicapes-en-milieu-scolaire.html,http://www.haitilibre.com/article-12470-haiti-education-campagne-pour-l-integration-des-enfants-handicapes-en-milieu-scolaire.html"
"530732068066844672","","","2014-11-07 14:42:40 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @DSamarasan: Today, the @DisabRightsFund Program Officer, Catalina Devandas @CataDevandas was confirmed as Special Rapporteur on Disabil…","530408743398547456","1347450564","2014-11-06 17:17:53 +0000",""
"530731790299041792","","","2014-11-07 14:41:34 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @elivings: APPLY TO BE A WHITE HOUSE FELLOW!
 
The program consists of full-time work placement in the offices of Cabinet Secre…http://t…","530724392398225408","18810130","2014-11-07 14:12:10 +0000","http://whf.eop.gov,http://whf.eop.gov"
"530395658096615424","","","2014-11-06 16:25:53 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Congratulations Catalina Devandas-Aguilar on her appointment as Special Rapporteur today by the President of the HRC! http://t.co/FayVoYoGXO","","","","http://twitter.com/DisabRightsFund/status/530395658096615424/photo/1"
"529696383054647296","","","2014-11-04 18:07:13 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @GeorgetownLaw: Georgetown Law appoints @EricDRI (L'92) to Drinan Chair in Human Rights. http://t.co/IuBV8W22RP","529665747229110274","59577517","2014-11-04 16:05:29 +0000","http://bit.ly/1x3iI9R,http://bit.ly/1x3iI9R"
"529696353891667968","","","2014-11-04 18:07:06 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @HRI_gtownlaw: Congratulations Eric Rosenthal of @DRI_advocacy! Appointed as 2015-16 Drinan Chair in Human Rights @GeorgetownLaw http://…","529673442132754432","362526822","2014-11-04 16:36:04 +0000","http://bit.ly/1x8tY3L,http://bit.ly/1x8tY3L"
"527921507201064960","","","2014-10-30 20:34:30 +0000","<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>","People with disabilities ‘simply don’t count’ in many developing countries http://t.co/VQIQz2zlp9","","","","http://gu.com/p/42ytz/stw"
"527836122635059200","","","2014-10-30 14:55:13 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @DFID_UK: How we've helped to transform the lives of girls in #Afghanistan:  #AfghanFuture http://t.co/WyO6TTXkHw","527777251870642177","19915362","2014-10-30 11:01:17 +0000","http://twitter.com/DFID_UK/status/527777251870642177/photo/1,http://twitter.com/DFID_UK/status/527777251870642177/photo/1"
"527571966836736001","","","2014-10-29 21:25:33 +0000","<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>","DRI files international human rights case against Guatemala http://t.co/2KXKhDDnDZ via #constantcontact","","","","http://conta.cc/1sFB0sy"
